language,pretrain,decay-eng,decay-all,decay-mid,ext
mpp,0,0,721662,0,0
mps,0,0,3025956,0,0
mpt,0,0,54945,0,0
mpx,0,0,1449825,0,0
mqb,0,0,1058511,0,0
mqj,0,0,283542,0,0
mqy,0,0,81729,0,0
mrg,0,0,76080,0,0
mri,0,296185796,227681323,296185796,566295401
mrj,0,0,8646648,0,0
mrq,0,0,88221,0,0
mrv,0,0,13449,0,0
mrw,0,0,1164732,0,0
msb,0,0,289524,0,0
msc,0,0,46827,0,0
mse,0,0,1626,0,0
msk,0,0,266313,0,0
msy,0,0,1471392,0,0
mta,0,0,71802,0,0
mtg,0,0,30375,0,0
mti,0,0,360528,0,0
mtj,0,0,17865,0,0
mto,0,0,236034,0,0
mtp,0,0,784566,0,0
mua,0,0,5559,0,0
mug,0,0,6573,0,0
muh,0,0,1094745,0,0
mui,0,0,79478742,0,0
mup,0,0,2535606,0,0
mur,0,0,339714,0,0
mus,0,0,7266,0,0
mux,0,0,1510380,0,0
muy,0,0,78588,0,0
mva,0,0,773859,0,0
mvn,0,0,7734,0,0
mvp,0,0,278808,0,0
mwc,0,0,134502,0,0
mwl,0,0,18515019,0,0
mwm,0,0,12189,0,0
mwn,0,0,127236,0,0
mwp,0,0,374751,0,0
mwq,0,0,1141392,0,0
mwv,0,0,617886,0,0
mww,0,237323393,227984022,237323393,599682708
mxb,0,0,725301,0,0
mxp,0,0,506679,0,0
mxq,0,0,413112,0,0
mxt,0,0,400845,0,0
mxv,0,0,300072,0,0
mya,1836717720,496030641,481728338,528764929,1557739067
myb,0,0,13629,0,0
myk,0,0,190074,0,0
myu,0,0,161856,0,0
myv,0,0,14666544,0,0
myw,0,0,668328,0,0
myx,0,0,110094,0,0
myy,0,0,994113,0,0
mza,0,0,177219,0,0
mzh,0,0,15408,0,0
mzk,0,0,42912,0,0
mzl,0,0,4425,0,0
mzm,0,0,4134,0,0
mzn,0,0,2018337,0,0
mzw,0,0,695001,0,0
mzz,0,0,65898,0,0
nab,0,0,258864,0,0
naf,0,0,339612,0,0
nah,0,0,1271586,0,0
nak,0,0,1391877,0,0
nap,0,314038126,289109455,314038126,864903310
naq,0,0,2700078,0,0
nas,0,0,1223664,0,0
nav,0,0,29622,0,0
naw,0,0,24414,0,0
nba,0,0,439359,0,0
nbc,0,0,18813,0,0
nbe,0,0,6051,0,0
nbl,0,0,1159698,0,0
nbq,0,0,387660,0,0
nbu,0,0,233055,0,0
nca,0,0,466479,0,0
nch,0,0,2312883,0,0
ncj,0,0,840528,0,0
ncl,0,0,343602,0,0
ncq,0,0,64698,0,0
nct,0,0,206553,0,0
ncu,0,0,222684,0,0
ncx,0,0,355521,0,0
ndc,0,0,960057,0,0
nde,0,0,15227646,0,0
ndh,0,0,190431,0,0
ndi,0,0,5502,0,0
ndj,0,0,8928,0,0
ndo,0,0,10747020,0,0
nds,0,0,96356412,0,0
ndz,0,0,12531,0,0
neb,0,0,58017,0,0
new,0,0,19154001,0,0
nfa,0,0,57552,0,0
nfr,0,0,626586,0,0
ngb,0,0,3753,0,0
ngc,0,0,1746,0,0
ngl,0,0,212955,0,0
ngp,0,0,109098,0,0
ngu,0,0,1006143,0,0
nhd,0,0,276,0,0
nhe,0,0,1507905,0,0
nhg,0,0,301071,0,0
nhi,0,0,690639,0,0
nhk,0,0,56103,0,0
nho,0,0,841098,0,0
nhr,0,0,152862,0,0
nhu,0,0,4476114,0,0
nhw,0,0,1408350,0,0
nhx,0,0,84012,0,0
nhy,0,0,390357,0,0
nia,0,0,1400262,0,0
nif,0,0,277587,0,0
nii,0,0,665292,0,0
nij,0,0,868350,0,0
nim,0,0,317679,0,0
nin,0,0,371058,0,0
nio,0,0,47535,0,0
niq,0,0,5268,0,0
niu,0,0,1267986,0,0
niy,0,0,24606,0,0
njb,0,0,54291,0,0
njm,0,0,54726,0,0
njn,0,0,50913,0,0
njo,0,0,1313478,0,0
njz,0,0,3279,0,0
nkf,0,0,122754,0,0
nki,0,0,366546,0,0
nko,0,0,151554,0,0
nla,0,0,11358,0,0
nlc,0,0,33801,0,0
nld,37153917482,1758681415,1943396273,1960504652,13377415660
nlg,0,0,64917,0,0
nma,0,0,14118,0,0
nmf,0,0,195735,0,0
nmo,0,0,49077,0,0
nmw,0,0,23160,0,0
nmz,0,0,12042,0,0
nnb,0,0,470193,0,0
nng,0,0,2460,0,0
nnh,0,0,14889,0,0
nnl,0,0,267,0,0
nno,0,362784936,346365959,362784936,1125063147
nnp,0,0,20049,0,0
nnq,0,0,126141,0,0
nnw,0,0,29766,0,0
noa,0,0,657291,0,0
nob,20925047379,1273114498,1341227367,1341359992,8894158913
nod,0,0,622017,0,0
nog,0,0,2183202,0,0
non,0,0,32753325,0,0
nop,0,0,563730,0,0
not,0,0,121578,0,0
nou,0,0,310113,0,0
nov,0,0,7420668,0,0
nph,0,0,173073,0,0
npi,2500423044,495629493,507675841,501049612,1976727451
npl,0,0,309660,0,0
npo,0,0,9579,0,0
npy,0,0,811158,0,0
nqo,0,0,1098279,0,0
nre,0,0,21771,0,0
nrf,0,0,499662,0,0
nri,0,0,12384,0,0
nrm,0,234695010,216894904,234695010,524151144
nsa,0,0,5097,0,0
nse,0,0,11307,0,0
nsm,0,0,73578,0,0
nsn,0,0,400911,0,0
nso,0,0,15307296,0,0
nss,0,0,351708,0,0
nst,0,0,12141,0,0
nsu,0,0,370380,0,0
ntp,0,0,30063,0,0
ntr,0,0,855495,0,0
ntu,0,0,891183,0,0
nuj,0,0,130698,0,0
nus,0,0,301350,0,0
nuy,0,0,436821,0,0
nuz,0,0,1614,0,0
nwb,0,0,9054,0,0
nwi,0,0,641313,0,0
nwx,0,0,2220,0,0
nxd,0,0,3492,0,0
nya,0,0,178316655,0,0
nyf,0,0,98586,0,0
nyk,0,0,1818,0,0
nyn,0,0,1595706,0,0
nyo,0,0,423357,0,0
nyu,0,0,1348878,0,0
nyy,0,0,228141,0,0
nzi,0,0,2817297,0,0
nzm,0,0,20511,0,0
obo,0,0,38223,0,0
oci,0,0,104865588,0,0
ogo,0,0,230703,0,0
ojb,0,0,464562,0,0
oke,0,0,78567,0,0
okv,0,0,272922,0,0
old,0,0,32202,0,0
olo,0,0,6071943,0,0
omb,0,0,47757,0,0
omw,0,0,331521,0,0
ong,0,0,597087,0,0
ons,0,0,80580,0,0
ood,0,0,60909,0,0
opm,0,0,719862,0,0
orv,0,0,58740,0,0
ory,0,357736114,301272777,357736114,897613597
oss,0,0,58161660,0,0
ota,0,0,272487,0,0
otd,0,0,32994,0,0
ote,0,0,1190604,0,0
otm,0,0,502440,0,0
otn,0,0,23103,0,0
oto,0,0,34644,0,0
otq,0,0,1036131,0,0
ots,0,0,21162,0,0
otw,0,0,383271,0,0
oym,0,0,9534,0,0
ozm,0,0,770112,0,0
pab,0,0,405762,0,0
pad,0,0,755967,0,0
pag,0,0,587442,0,0
pah,0,0,603123,0,0
pam,0,0,8486379,0,0
pan,0,449980316,376341655,449980316,1215558160
pao,0,0,388080,0,0
pap,0,0,274942755,0,0
pau,0,0,2111550,0,0
pbb,0,0,144408,0,0
pbc,0,0,216,0,0
pbi,0,0,7239,0,0
pbt,865919461,318637901,326476268,329059233,932834699
pcd,0,0,9335265,0,0
pck,0,0,7681887,0,0
pcm,0,251110768,246962301,251110768,636145453
pdc,0,0,11893449,0,0
pdt,0,0,2652387,0,0
pem,0,0,177735,0,0
pfe,0,0,18564,0,0
pfl,0,0,25925493,0,0
phm,0,0,2223,0,0
pib,0,0,84561,0,0
pio,0,0,89685,0,0
pir,0,0,913140,0,0
pis,0,0,302217,0,0
pjt,0,0,1135182,0,0
pkb,0,0,12867,0,0
plg,0,0,68409,0,0
pls,0,0,274779,0,0
plt,0,268848935,246614934,268848935,641905427
plu,0,0,286296,0,0
plw,0,0,154110,0,0
pma,0,0,913545,0,0
pmf,0,0,73350,0,0
pmq,0,0,33654,0,0
pms,0,0,19303326,0,0
pmx,0,0,10602,0,0
pnb,0,0,29289726,0,0
pne,0,0,71451,0,0
pnt,0,0,2920005,0,0
pny,0,0,690,0,0
poe,0,0,24060,0,0
poh,0,0,4029525,0,0
poi,0,0,188115,0,0
pol,36514762641,1724159750,1917593057,1918762412,13208941209
pon,0,0,3439911,0,0
por,46894429074,1915135889,2014897128,2048803296,16511163210
pos,0,0,1509,0,0
pot,0,0,259614,0,0
pov,0,0,57903,0,0
poy,0,0,88914,0,0
ppk,0,0,1085286,0,0
ppo,0,0,614244,0,0
pps,0,0,2706,0,0
prf,0,0,130518,0,0
prg,0,0,104802,0,0
pri,0,0,863736,0,0
prq,0,0,4920,0,0
pse,0,0,27000,0,0
pss,0,0,11475,0,0
ptp,0,0,351777,0,0
ptu,0,0,1484811,0,0
pui,0,0,128877,0,0
pwg,0,0,428211,0,0
pwn,0,0,665742,0,0
pww,0,0,27630,0,0
pxm,0,0,13260,0,0
qub,0,0,730293,0,0
quc,0,0,3352119,0,0
quf,0,0,806748,0,0
qug,0,0,3517965,0,0
quh,0,0,794850,0,0
qul,0,0,105735,0,0
qup,0,0,320058,0,0
qus,0,0,42813,0,0
quw,0,0,382128,0,0
quy,0,0,2577504,0,0
quz,0,0,3062616,0,0
qva,0,0,35529,0,0
qvc,0,0,210786,0,0
qve,0,0,1287078,0,0
qvh,0,0,554727,0,0
qvi,0,0,263718,0,0
qvm,0,0,532209,0,0
qvn,0,0,599658,0,0
qvo,0,0,15006,0,0
qvs,0,0,556518,0,0
qvw,0,0,411768,0,0
qvz,0,0,496485,0,0
qwh,0,0,831843,0,0
qxh,0,0,906483,0,0
qxl,0,0,92025,0,0
qxn,0,0,202233,0,0
qxo,0,0,81363,0,0
qxr,0,0,274386,0,0
rad,0,0,2006505,0,0
rai,0,0,568059,0,0
rap,0,0,118200,0,0
rar,0,0,2860218,0,0
rav,0,0,325794,0,0
raw,0,0,23519256,0,0
rcf,0,0,6992658,0,0
rej,0,0,721857,0,0
rel,0,0,82299,0,0
rgu,0,0,201948,0,0
rhg,0,0,22863,0,0
ria,0,0,128334,0,0
rim,0,0,8322,0,0
rjs,0,0,25158,0,0
rkb,0,0,294237,0,0
rmc,0,0,2933403,0,0
rme,0,0,605760,0,0
rml,0,0,184563,0,0
rmn,0,0,21649836,0,0
